Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
4158	2	Hortonworks	Apache Hadoop	1	1	en	en	0	1	9
4158	68	Hortonworks	Apache Software Foundation	1	1	en	en	0	1	9
4158	4159	Hortonworks	Benchmark Capital	1	1	en	en	0	1	9
4158	4160	Hortonworks	CNBC	1	1	en	en	0	1	9
4158	4161	Hortonworks	Forrester Research	1	1	en	en	0	1	9
4158	104	Hortonworks	HBase	1	1	en	en	0	1	9
4158	4162	Hortonworks	Hadoop Distributed File System (HDFS)	1	1	en	en	0	1	9
4158	4163	Hortonworks	Index Ventures	1	1	en	en	0	1	9
4158	4164	Hortonworks	Informatica	1	1	en	en	0	1	9
4158	121	Hortonworks	MapReduce	1	1	en	en	0	1	9
4158	2397	Hortonworks	Microsoft	1	1	en	en	0	1	9
4158	128	Hortonworks	Open source	1	1	en	en	0	1	9
4158	4165	Hortonworks	Teradata	1	1	en	en	0	1	9
4158	2494	Hortonworks	Types of business entity	1	1	en	en	0	1	9
4158	2057	Hortonworks	Yahoo!	1	1	en	en	0	1	9
