Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
2281	2282	Jan_van_Aken_(Politiker)	1. Mai	1	1	de	de	0	1	4
2281	2283	Jan_van_Aken_(Politiker)	1961	1	1	de	de	0	1	4
2281	5	Jan_van_Aken_(Politiker)	Abgeordnetenwatch.de	1	1	de	de	0	1	4
2281	1680	Jan_van_Aken_(Politiker)	Abitur	1	1	de	de	0	1	4
2281	2284	Jan_van_Aken_(Politiker)	Anti-Atomkraft-Bewegung	1	1	de	de	0	1	4
2281	2285	Jan_van_Aken_(Politiker)	Auswärtiger Ausschuss	1	1	de	de	0	1	4
2281	33	Jan_van_Aken_(Politiker)	Biologie	1	1	de	de	0	1	4
2281	2286	Jan_van_Aken_(Politiker)	Biologische Waffe	1	1	de	de	0	1	4
2281	53	Jan_van_Aken_(Politiker)	Bundestagswahl 2009	1	1	de	de	0	1	4
2281	2287	Jan_van_Aken_(Politiker)	Castor schottern	1	1	de	de	0	1	4
2281	2265	Jan_van_Aken_(Politiker)	Deutscher Bundestag	1	1	de	de	0	1	4
2281	76	Jan_van_Aken_(Politiker)	Deutschland	1	1	de	de	0	1	4
2281	2266	Jan_van_Aken_(Politiker)	Die Linke	1	1	de	de	0	1	4
2281	2288	Jan_van_Aken_(Politiker)	Diplom	1	1	de	de	0	1	4
2281	1702	Jan_van_Aken_(Politiker)	Fraktion (Bundestag)	1	1	de	de	0	1	4
2281	128	Jan_van_Aken_(Politiker)	Gemeinsame Normdatei	1	1	de	de	0	1	4
2281	2289	Jan_van_Aken_(Politiker)	Gentechnik	1	1	de	de	0	1	4
2281	2290	Jan_van_Aken_(Politiker)	Greenpeace	1	1	de	de	0	1	4
2281	2270	Jan_van_Aken_(Politiker)	Landesliste	1	1	de	de	0	1	4
2281	2291	Jan_van_Aken_(Politiker)	Linksfraktion	1	1	de	de	0	1	4
2281	2292	Jan_van_Aken_(Politiker)	Liste der Mitglieder des Deutschen Bundestages (17. Wahlperiode)	1	1	de	de	0	1	4
2281	2293	Jan_van_Aken_(Politiker)	Nichtregierungsorganisation	1	1	de	de	0	1	4
2281	268	Jan_van_Aken_(Politiker)	Politiker	1	1	de	de	0	1	4
2281	2294	Jan_van_Aken_(Politiker)	Promotion (Doktor)	1	1	de	de	0	1	4
2281	2295	Jan_van_Aken_(Politiker)	Reinbek	1	1	de	de	0	1	4
2281	2296	Jan_van_Aken_(Politiker)	Sudan	1	1	de	de	0	1	4
2281	2297	Jan_van_Aken_(Politiker)	Sunshine Project	1	1	de	de	0	1	4
2281	2298	Jan_van_Aken_(Politiker)	Universität Hamburg	1	1	de	de	0	1	4
2281	2299	Jan_van_Aken_(Politiker)	Vereinte Nationen	1	1	de	de	0	1	4
2281	334	Jan_van_Aken_(Politiker)	Virtual International Authority File	1	1	de	de	0	1	4
2281	358	Jan_van_Aken_(Politiker)	Hilfe:Personendaten	1	1	de	de	0	1	4
2281	2300	Jan_van_Aken_(Politiker)	Ioannes van Aken	1	18	de	la	1	0	4
2300	2301	Ioannes van Aken	1961	18	18	la	la	0	1	4
2300	2302	Ioannes van Aken	1 Maii	18	18	la	la	0	1	4
2300	2303	Ioannes van Aken	2003	18	18	la	la	0	1	4
2300	2304	Ioannes van Aken	2006	18	18	la	la	0	1	4
2300	1325	Ioannes van Aken	2009	18	18	la	la	0	1	4
2300	1326	Ioannes van Aken	2011	18	18	la	la	0	1	4
2300	2305	Ioannes van Aken	Consociatio Nationum	18	18	la	la	0	1	4
2300	1345	Ioannes van Aken	Dieta Foederalis Germaniae	18	18	la	la	0	1	4
2300	1357	Ioannes van Aken	Germania	18	18	la	la	0	1	4
2300	1359	Ioannes van Aken	Hamburgum	18	18	la	la	0	1	4
2300	2306	Ioannes van Aken	Motus Libycus anni 2011	18	18	la	la	0	1	4
2300	2307	Ioannes van Aken	Muammar al-Gaddafi	18	18	la	la	0	1	4
2300	2308	Ioannes van Aken	Reactorium nucleare	18	18	la	la	0	1	4
2300	2309	Ioannes van Aken	Sclopetum	18	18	la	la	0	1	4
2300	2310	Ioannes van Aken	Sinistra	18	18	la	la	0	1	4
